report_id,well_id,report_date,report_time,measured_depth_ft,tvd_ft,hole_size_in,rop_ft_hr,wob_klbs,rpm,torque_ft_lbs,spp_psi,mud_weight_ppg,flow_rate_gpm,pit_volume_bbl,gas_units,activity_code,activity_description,formation,npt_hours,npt_category,remarks,pv_cp,yp_lb_100sqft,gel_10s,gel_10min,fluid_loss_cc_30min,mud_chlorides_ppm,ph,mbt,solids_pct,inclination_deg,azimuth_deg,dogleg_severity_deg_100ft,slide_footage_ft,rotate_footage_ft,motor_yield_deg,toolface,bha_number,bit_type,bit_manufacturer,bit_model,nozzle_sizes,motor_od_in,motor_bend_deg,mwd_type,annular_pressure_loss_psi,apl_source
DDR-001,PERM-2847,2025-02-15,06:00,8200,7850,12.25,62,28,120,12500,3200,10.2,850,1250,15,DRILL,Drilling ahead,Wolfcamp A,0,,"Drlg 8136-8200' WCA. ROP 62 fph avg. Bit running smooth. SPP 3200, torque steady ~12k.",14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,350.2,calculated
DDR-002,PERM-2847,2025-02-15,08:00,8280,7920,12.25,58,30,115,13200,3350,10.2,860,1248,18,DRILL,Drilling ahead,Wolfcamp A,0,,Drilling ahead thru Wolfcamp A @ 8280'. Making 58fph w/ 30k WOB. Gas 18 units bgd. Inc 88.5 az 275.0.,14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,354.2,calculated
DDR-003,PERM-2847,2025-02-15,10:00,8350,7985,12.25,45,32,110,15800,3500,10.4,870,1245,25,DRILL,Drilling ahead - slow,Wolfcamp A,0,,"Cont drlg WCA. 45fph, 32k WOB, 3500 SPP. Hole cleaning good - returns clean. MW 10.4ppg.",14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,4.2,25,55,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,358.2,calculated
DDR-004,PERM-2847,2025-02-15,12:00,8380,8010,12.25,38,35,105,18200,3650,10.4,880,1240,35,DRILL,Drilling ahead - tight,Wolfcamp A,0,,"Drlg 8311 to 8380 in Wolf A. Good hole. 38fph rotating. Torque 18k, no drag noted.",14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,4.2,25,55,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,362.2,calculated
DDR-005,PERM-2847,2025-02-15,14:00,8380,8010,12.25,0,0,0,0,0,10.4,0,1240,12,CIRC,Circulating - conditioning mud,Wolfcamp A,0,,Circ & condition hole @ 8380'. Btms up in 65min. No fill. MW 10.4ppg. Gels 6/12.,14,18,6,12,4.2,45000,10.5,22,12.5,0,0,0,0,0,0,,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-006,PERM-2847,2025-02-15,16:00,8400,8025,12.25,42,30,115,14500,3400,10.5,860,1252,20,DRILL,Drilling ahead,Wolfcamp A,0,,Drlg ahead in WC A @ 8400ft. ROP 42fph. Slide 0ft rotate 80ft this stand. TF GTF.,14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,354.2,calculated
DDR-007,PERM-2847,2025-02-15,18:00,8450,8070,12.25,48,28,120,13800,3300,10.5,855,1255,22,DRILL,Drilling ahead,Wolfcamp A,0,,"Making hole 8372-8450. Wolf A fm. 48fph, WOB 28k, RPM 120. PV 14 YP 18. Good progress.",14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,352.2,calculated
DDR-008,PERM-2847,2025-02-15,20:00,8450,8070,12.25,0,0,0,0,0,10.5,0,1255,8,NPT,Waiting on weather - lightning,Wolfcamp A,2,weather,WOW - winds gusting 54mph. Crane ops suspended. Secured rig floor. 2.0hrs NPT.,14,18,6,12,4.2,45000,10.5,22,12.5,0,0,0,0,0,0,,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-009,PERM-2847,2025-02-15,22:00,8490,8105,12.25,52,27,122,13000,3250,10.5,850,1258,18,DRILL,Drilling ahead,Wolfcamp A,0,,"Drlg WCA 8429-8490'. Hit softer streak ~8443, ROP jumped to 65fph briefly. Avg 52fph for stand.",14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,350.2,calculated
DDR-010,PERM-2847,2025-02-16,00:00,8540,8150,12.25,55,26,125,12800,3200,10.5,845,1260,16,DRILL,Drilling ahead,Wolfcamp A,0,,Cont drilling WCA. Depth 8540'. 55fph. Torque trending up slightly - 12k ft-lbs. Monitoring. WOB 26k.,14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,348.2,calculated
