well_name,depth_ft,formation,lithology,c1_pct,c2_pct,c3_pct,ic4_pct,nc4_pct,c5_pct,total_gas_units,rop_fthr,show_description
Midland State A 1H,8800,Wolfcamp A,Organic shale / carbonate,1.5,0.145,0.038,0.005,0.005,0.003,1.696,90.8,No show
Midland State A 1H,8830,Wolfcamp A,Organic shale / carbonate,6.613,0.921,0.21,0.039,0.038,0.014,7.835,157.8,Good gas show
Midland State A 1H,8860,Wolfcamp A,Organic shale / carbonate,3.876,0.485,0.171,0.016,0.018,0.009,4.575,58.3,Gas show
Midland State A 1H,8890,Wolfcamp A,Organic shale / carbonate,3.799,0.461,0.079,0.008,0.009,0.003,4.359,44.1,Gas show
Midland State A 1H,8920,Wolfcamp A,Organic shale / carbonate,3.373,0.22,0.036,0.004,0.004,0.002,3.639,30.0,Gas show
Midland State A 1H,8950,Wolfcamp A,Organic shale / carbonate,6.747,0.6,0.199,0.038,0.031,0.02,7.635,112.1,Good gas show
Midland State A 1H,8980,Wolfcamp A,Organic shale / carbonate,4.077,0.588,0.111,0.012,0.014,0.009,4.811,106.1,Gas show
Midland State A 1H,9010,Wolfcamp A,Organic shale / carbonate,6.01,0.781,0.288,0.035,0.032,0.016,7.162,82.2,Good gas show
Midland State A 1H,9040,Wolfcamp A,Organic shale / carbonate,5.517,0.716,0.227,0.04,0.047,0.033,6.58,105.5,Good gas show
Midland State A 1H,9070,Wolfcamp A,Organic shale / carbonate,7.302,0.797,0.238,0.015,0.015,0.01,8.377,49.1,Good gas show
Midland State A 1H,9100,Wolfcamp A,Organic shale / carbonate,2.451,0.203,0.048,0.005,0.006,0.002,2.715,172.2,Gas show
Midland State A 1H,9130,Wolfcamp A,Organic shale / carbonate,3.662,0.489,0.118,0.019,0.016,0.011,4.315,55.9,Gas show
Midland State A 1H,9160,Wolfcamp A,Organic shale / carbonate,1.015,0.148,0.017,0.001,0.001,0.001,1.183,119.4,No show
Midland State A 1H,9190,Wolfcamp A,Organic shale / carbonate,2.289,0.223,0.03,0.006,0.006,0.002,2.556,79.0,Gas show
