offset_well_id,formation,depth_from_ft,depth_to_ft,avg_rop_ft_hr,avg_wob_klbs,avg_rpm,avg_torque_ft_lbs,avg_mud_weight_ppg,days_in_formation,total_cost_usd,npt_hours,completion_date,hole_section,bit_size_in,well_sequence_number
OFF-001,Wolfcamp A,7500,8500,58,27,118,13200,10.3,4.2,1850000,6,2024-08-15,Production,12.25,1
OFF-002,Wolfcamp A,7500,8500,62,26,122,12800,10.2,3.8,1720000,4,2024-09-22,Production,12.25,2
OFF-003,Wolfcamp A,7500,8500,55,29,115,14100,10.4,4.5,1920000,8,2024-07-10,Production,12.25,3
OFF-004,Wolfcamp B,8500,9500,48,30,112,15500,10.6,5.1,2100000,10,2024-10-05,Production,12.25,4
OFF-005,Wolfcamp B,8500,9500,52,28,116,14800,10.5,4.8,1980000,7,2024-11-18,Production,12.25,5
OFF-006,Bone Spring,8500,12000,30,22,130,10200,12.5,6.2,2450000,12,2024-06-30,Production,8.75,6
OFF-007,Bone Spring,8500,12000,33,21,135,9800,12.6,5.8,2320000,8,2024-09-14,Production,8.75,7
OFF-008,Bone Spring,8500,12000,28,23,128,10800,12.7,6.5,2580000,15,2024-04-22,Production,8.75,8
OFF-009,Eagle Ford Shale,6500,9800,70,25,132,11200,9.7,3.5,1580000,5,2024-10-28,Production,12.25,9
OFF-010,Eagle Ford Shale,6500,9800,75,24,138,10800,9.6,3.2,1480000,3,2024-12-01,Production,12.25,10
OFF-011,Eagle Ford Shale,6500,9800,65,26,128,11800,9.8,3.8,1650000,6,2024-08-05,Production,12.25,11
OFF-012,Three Forks,9500,10500,28,19,92,8800,11.4,5.5,2200000,14,2024-07-20,Lateral,8.5,12
OFF-013,Three Forks,9500,10500,32,18,95,8200,11.3,5.0,2050000,10,2024-11-02,Lateral,8.5,13
OFF-014,Austin Chalk,9800,12800,60,26,125,12200,9.9,4.0,1750000,5,2024-09-30,Production,12.25,14
OFF-016,Wolfcamp B,8500,9500,55,29,116,16932,10.4,3.5,2184188,10,2024-01-16,Production,12.25,16
OFF-017,Wolfcamp B,8500,9500,51,32,119,15133,10.5,4.2,2086951,13,2024-01-04,Production,12.25,17
OFF-018,Bone Spring,8500,12000,30,19,143,12797,12.6,6.5,2688823,15,2024-11-05,Production,8.75,18
OFF-019,Three Forks,9500,10500,33,14,72,7772,11.2,6.0,2199640,7,2024-07-04,Lateral,8.5,19
OFF-020,Eagle Ford Shale,6500,9800,69,24,134,12182,9.8,3.8,1677492,7,2024-11-21,Production,12.25,20
OFF-021,Austin Chalk,9800,12800,63,28,119,10563,9.9,3.7,1627372,1,2024-05-05,Production,12.25,21
OFF-022,Bone Spring,8500,12000,27,23,143,9472,12.6,6.9,2455844,10,2024-01-17,Production,8.75,22
OFF-023,Austin Chalk,9800,12800,58,27,134,11394,9.9,3.5,1438229,5,2024-11-25,Production,12.25,23
OFF-024,Dean,5500,7200,68,25,125,9507,9.8,2.2,1276932,2,2024-03-11,Intermediate,12.25,24
OFF-025,Dean,5500,7200,68,25,134,12072,9.9,2.2,1535508,6,2024-08-27,Intermediate,12.25,25
OFF-026,Three Forks,9500,10500,40,18,106,8638,11.3,4.4,2077345,18,2024-02-27,Lateral,8.5,26
OFF-027,Three Forks,9500,10500,25,20,109,7799,11.4,6.2,2243550,20,2024-11-16,Lateral,8.5,27
OFF-028,Three Forks,9500,10500,33,16,95,9602,11.7,7.0,2396778,8,2024-11-02,Lateral,8.5,28
OFF-029,Austin Chalk,9800,12800,57,26,110,14845,10.0,3.4,1761131,10,2024-02-10,Production,12.25,29
OFF-030,Wolfcamp B,8500,9500,49,24,124,14796,10.8,5.8,2135140,7,2024-09-27,Production,12.25,30
OFF-031,Middle Bakken,9600,10400,48,18,98,7165,11.2,4.0,1881478,6,2024-09-21,Lateral,8.5,31
OFF-032,Dean,5500,7200,70,25,119,12360,9.8,3.6,1591111,6,2024-04-27,Intermediate,12.25,32
OFF-033,Wolfcamp B,8500,9500,60,26,119,15381,10.5,4.5,2286686,15,2024-10-19,Production,12.25,33
OFF-034,Dean,5500,7200,65,27,122,11295,9.7,2.4,1145983,8,2024-01-28,Intermediate,12.25,34
OFF-035,Wolfcamp B,8500,9500,59,31,115,14452,10.7,5.9,2110796,10,2024-08-24,Production,12.25,35
OFF-036,Eagle Ford Shale,6500,9800,72,24,139,8993,9.9,4.2,1554971,5,2024-02-17,Production,12.25,36
OFF-037,Eagle Ford Shale,6500,9800,75,28,135,12384,9.9,3.8,1697258,5,2024-08-20,Production,12.25,37
OFF-038,Three Forks,9500,10500,19,23,103,8456,11.4,4.8,1985781,22,2024-10-23,Lateral,8.5,38
OFF-039,Wolfcamp A,7500,8500,58,26,110,12484,10.4,3.8,1909448,6,2024-04-05,Production,12.25,39
OFF-040,Wolfcamp B,8500,9500,43,26,114,15604,10.7,4.6,1877209,5,2024-08-02,Production,12.25,40
OFF-041,Austin Chalk,9800,12800,64,25,124,11334,9.7,4.7,1709590,8,2024-02-07,Production,12.25,41
OFF-042,Wolfcamp A,7500,8500,30,30,121,13189,10.3,4.8,2132605,3,2024-05-05,Production,12.25,42
OFF-043,Austin Chalk,9800,12800,58,29,118,11927,10.3,3.9,1530963,4,2024-10-10,Production,12.25,43
OFF-044,Three Forks,9500,10500,32,18,98,7848,11.7,4.5,2168310,15,2024-04-17,Lateral,8.5,44
OFF-045,Austin Chalk,9800,12800,63,30,124,13584,10.2,3.1,1881709,7,2024-05-21,Production,12.25,45
OFF-046,Wolfcamp A,7500,8500,72,27,114,12490,10.3,3.2,1831211,6,2024-02-08,Production,12.25,46
OFF-047,Bone Spring,8500,12000,22,20,128,9963,12.7,6.7,2665408,7,2024-01-21,Production,8.75,47
OFF-048,Austin Chalk,9800,12800,61,28,136,13457,10.1,3.5,1686886,3,2024-05-01,Production,12.25,48
OFF-049,Bone Spring,8500,12000,40,21,133,10118,12.6,5.5,2694941,8,2024-05-07,Production,8.75,49
OFF-050,Three Forks,9500,10500,34,23,91,8727,11.3,5.4,2221277,10,2024-04-26,Lateral,8.5,50
OFF-051,Eagle Ford Shale,6500,9800,75,25,125,13314,9.9,3.4,1484499,2,2024-10-01,Production,12.25,51
